* Measurement data measured by REW V5.20.13
* Source: Umik-1  Gain: 12dB  , MICROPHONE, R, volume: 1.000. Timing signal peak level -23.0 dBFS, measurement signal peak level -18.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 15, 2023 8:38:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1348 ms (-46 mm, -1.82 in) using IR start time relative to Acoustic reference played from SPEAKER R with -0.0186 ms (-6.4 mm, -0.25 in) timing offset Clock adjustment: 1,237.9 ppm
* Measurement: crossover v2 76
* Smoothing: Psychoacoustic
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
250.000000, 77.999, -176.6726
254.000000, 78.054, 167.1860
258.000000, 78.019, 150.8047
262.000000, 77.900, 134.3429
265.000000, 77.761, 122.0009
269.000000, 77.518, 105.5413
272.000000, 77.298, 93.1233
276.000000, 76.964, 76.2698
280.000000, 76.595, 58.7476
285.000000, 76.095, 35.2236
290.000000, 75.563, 8.9694
295.000000, 75.005, -21.0784
300.000000, 74.433, -55.9872
304.000000, 73.981, -88.0623
307.000000, 73.660, -114.7832
311.000000, 73.282, -154.1057
315.000000, 73.001, 162.4238
320.000000, 72.842, 102.8735
325.000000, 72.931, 38.9414
330.000000, 73.238, -27.2745
335.000000, 73.685, -93.3748
340.000000, 74.186, -157.0376
345.000000, 74.678, 143.6426
350.000000, 75.121, 89.9336
355.000000, 75.494, 42.4080
360.000000, 75.788, 1.0361
365.000000, 76.003, -34.6304
370.000000, 76.145, -65.2744
375.000000, 76.224, -91.6589
382.000000, 76.260, -122.8826
387.000000, 76.260, -142.0593
395.000000, 76.263, -169.0493
400.000000, 76.284, 175.5674
406.000000, 76.332, 157.9131
412.000000, 76.398, 140.6340
418.000000, 76.468, 123.3455
425.000000, 76.539, 102.7939
431.000000, 76.576, 84.5967
437.000000, 76.579, 65.6470
444.000000, 76.528, 42.2920
450.000000, 76.432, 20.9023
455.000000, 76.315, 1.8655
462.000000, 76.099, -27.0801
468.000000, 75.873, -54.4539
475.000000, 75.567, -89.8538
482.000000, 75.225, -129.2148
487.000000, 74.960, -159.6570
494.000000, 74.566, 155.0085
500.000000, 74.210, 114.4214
508.000000, 73.719, 59.4863
515.000000, 73.281, 12.2100
522.000000, 72.842, -33.1672
530.000000, 72.346, -82.0786
538.000000, 71.872, -128.0869
545.000000, 71.496, -166.7288
552.000000, 71.183, 155.2141
560.000000, 70.942, 111.3616
570.000000, 70.865, 54.7932
580.000000, 71.024, -3.9373
590.000000, 71.325, -63.5090
600.000000, 71.642, -121.5796
608.000000, 71.845, -165.3584
615.000000, 71.963, 159.0437
622.000000, 72.020, 126.2886
630.000000, 72.014, 92.3884
640.000000, 71.917, 54.9521
650.000000, 71.743, 22.2107
660.000000, 71.512, -6.8020
670.000000, 71.236, -32.9390
680.000000, 70.915, -56.8223
